Key,Value
Block_AlreadyBlocked,cette personne a déjà été bloquée
Block_Self,vous ne pouvez pas vous bloquer vous-mêmes
Buy,achète
ChangePassword_CurrentPassword,votre mot de passe
ChangePassword_Failed,le mot de passe n'a pas été changé
ChangePassword_NewPassword,nouveau mot de passe
ChangePassword_NewPasswordConfirm,confirmez le nouveau mot de passe 
ChangePassword_Submit,change
ChangePassword_Succeeded,le mot de passe a été changé
Comment,envois
CommentModel_Long,le commentaire doit avoir moins de….. caractères
CommentModel_Required,le commentaire est nécessaire
Comments_NoPermission,vous n'avez pas d'autorisation pour effacer ce commentaire
Comments_NotExists,Ce commentaire n’existe pas
Common_AlreadyBanned,ce compte a été fermé
Common_AndOther,et les autres
Common_Back,retour
Common_HasBeenBlocked,vous avez été bloqué par cette personne
Common_HasBlocked,vous avez bloqué cette personne
Common_InvalidEmailAddress,adresse e-mail invalide
Common_NoConnection,vérifiez votre connexion internet
Common_NoPermission,vous n'avez pas d'autorisation 
Common_NoRecord,n’existe pas
Common_SendCredit,envois
Common_UnknownError,Erreur
Common_Unsuccessful,l'opération a échoué
Common_World,monde
Common_SendButton,envois
Credit_Confirm,êtes-vous sur?
Credit_NotEnough,achète le monde
Credit_Self,vous ne pouvez pas envoyer le monde à vous-mêmes
Description_Mentions_Commented_Image,a commenté te photo
Description_Mentions_Commented_Text,a commenté tes écrits
Description_Mentions_Favourited_Image,a ajouté ta photo à ses favoris
Description_Mentions_Favourited_Text,a ajoute tes écrits à ses favoris
Description_Mentions_Liked_Image,a aimé ta photo
Description_Mentions_Liked_Text,a aimé tes écrits
Description_Mentions_Mentioned,t’a mentionné
Description_Mentions_Shared_Image,a partagé ta photo avec le monde
Description_Mentions_Shared_Text,a partagé tes écrits avec le monde
Description_Mentions_Video_Image,a ajouté une vidéo à ta photo
Description_Mentions_Video_Text,a ajouté une vidéo à tes écrits 
Description_Telescope_Favourited,a ajouté à ses favoris
Description_Telescope_Followed,a suivi
Description_Telescope_Liked,a aimé
Description_Telescope_Shared,a partagé avec le monde
Email_Mentioned,%username% t’a mentionné
Email_Comment_Image,%username% a commenté ta photo
Email_Comment_Text,%username% a commenté tes écrits
Email_Favorited_Text,%username% a ajouté tes écrits à ses favoris
Email_Favorited_Image,%username% a ajouté ta photo à ses favoris
Email_Follow,%username% a commencé à te suivre
Email_Like_Image,%username% a aimé ta photo
Email_Like_Text,%username% a aimé tes écrits
Email_PasswordReset,votre mot de passe worldself a été renouvellé
Email_ResetPasswordConfirmation,si vous souhaitez renouveler votre mot de passe worldself cliquez sur le lien ci-dessous
